scraped_date,match_date,home_team,away_team,league_name,home_score,away_score,partial_results,venue,venue_town,venue_country,home_odds_10bet,away_odds_10bet,home_odds_1xbet,away_odds_1xbet,home_odds_22bet,away_odds_22bet,home_odds_888sport,away_odds_888sport,home_odds_betathome,away_odds_betathome,home_odds_bet365,away_odds_bet365,home_odds_betfair,away_odds_betfair,home_odds_betinasia,away_odds_betinasia,home_odds_betsafe,away_odds_betsafe,home_odds_betsson,away_odds_betsson,home_odds_betway,away_odds_betway,home_odds_ggbet,away_odds_ggbet,home_odds_nordicbet,away_odds_nordicbet,home_odds_pinnacle,away_odds_pinnacle,home_odds_unibet,away_odds_unibet
2025-05-16 03:37:33 UTC,2024-10-14 00:15:00 UTC,Los Angeles Dodgers,New York Mets,MLB 2024,9,0,"2:0, 1:0, 0:0, 3:0, 0:0, 0:0, 0:0, 3:0, X:0",Dodger Stadium,"Los Angeles, CA",USA,-161,+135,-161,+138,-167,+134,-161,+129,-167,+135,-159,+135,-161,+138,-154,+138,-161,+135,-161,+135,-179,+140,-159,+133,-161,+135,-152,+140,-167,+135
2025-05-16 03:37:34 UTC,2024-10-10 22:08:00 UTC,Detroit Tigers,Cleveland Guardians,MLB 2024,4,5,"0:1, 1:0, 0:0, 0:0, 1:1, 1:0, 0:2, 0:0, 1:1",Comerica Park,"Detroit, MI",USA,+104,-125,+104,-120,+100,-125,+100,-125,+104,-128,+104,-125,+100,-120,+110,-120,+104,-122,+104,-122,-105,-120,+102,-122,+104,-122,+110,-120,+106,-133
2025-05-16 03:37:34 UTC,2024-10-17 00:08:00 UTC,New York Mets,Los Angeles Dodgers,MLB 2024,0,8,"0:0, 0:2, 0:0, 0:0, 0:0, 0:2, 0:0, 0:3, 0:1",Citi Field,"New York, NY",USA,-110,-110,-105,-110,-109,-114,-110,-118,-111,-111,-105,-115,-105,-111,-104,-104,-109,-111,-109,-111,-110,-110,+100,-119,-109,-111,-104,-104,-103,-120
2025-05-16 03:37:50 UTC,2024-10-12 00:08:00 UTC,Los Angeles Dodgers,San Diego Padres,MLB 2024,2,0,"0:0, 1:0, 0:0, 0:0, 0:0, 0:0, 1:0, 0:0, X:0",Dodger Stadium,"Los Angeles, CA",USA,-149,+125,-152,+131,-159,+127,-149,+120,-154,+129,-154,+129,-137,+120,-147,+134,-147,+125,-147,+125,-159,+125,-149,+125,-147,+125,-145,+134,-152,+120
2025-05-16 03:37:50 UTC,2024-10-06 20:08:00 UTC,Philadelphia Phillies,New York Mets,MLB 2024,7,6,"0:0, 0:0, 0:2, 0:0, 0:0, 3:1, 0:1, 3:0, 1:2",Citizens Bank Park,"Philadelphia, PA",USA,-149,+125,-149,+129,-156,+125,-149,+120,-143,+120,-141,+120,-137,+120,-137,+125,-143,+120,-143,+120,-145,+114,-141,+119,-143,+120,-135,+125,-154,+123
2025-05-16 03:37:50 UTC,2024-10-11 00:08:00 UTC,Kansas City Royals,New York Yankees,MLB 2024,1,3,"0:1, 0:0, 0:0, 0:0, 0:1, 1:1, 0:0, 0:0, 0:0",Kauffman Stadium,"Kansas City, MO",USA,+129,-154,+129,-152,+127,-159,+125,-154,+129,-159,+125,-149,+125,-149,+135,-147,+129,-154,+129,-154,+120,-149,+129,-154,+129,-154,+135,-147,+129,-161
2025-05-16 03:38:06 UTC,2024-10-14 23:38:00 UTC,New York Yankees,Cleveland Guardians,MLB 2024,5,2,"0:0, 0:0, 3:0, 1:0, 0:0, 0:1, 1:0, 0:1, X:0",Yankee Stadium,"New York, NY",USA,-175,+145,-169,+146,-179,+143,-167,+135,-172,+140,-164,+140,-161,+138,-167,+150,-167,+140,-167,+140,-175,+145,-179,+150,-167,+140,-161,+147,-182,+145
2025-05-16 03:38:05 UTC,2024-10-09 23:08:00 UTC,Kansas City Royals,New York Yankees,MLB 2024,2,3,"0:0, 0:0, 0:0, 0:1, 2:1, 0:0, 0:0, 0:1, 0:0",Kauffman Stadium,"Kansas City, MO",USA,+100,-120,+102,-118,-101,-122,+100,-125,+100,-125,+100,-120,+100,-118,+104,-114,+100,-118,+100,-118,-105,-120,-102,-115,+100,-118,+106,-114,+100,-123
2025-05-16 03:38:05 UTC,2024-10-15 23:38:00 UTC,New York Yankees,Cleveland Guardians,MLB 2024,6,3,"1:0, 2:0, 0:0, 0:0, 0:2, 1:0, 2:0, 0:0, X:1",Yankee Stadium,"New York, NY",USA,-175,+145,-182,+156,-189,+152,-175,+140,-182,+145,-169,+145,-175,+145,-161,+146,-167,+140,-167,+140,-164,+129,-164,+138,-167,+140,-159,+146,-179,+143
2025-05-16 03:38:20 UTC,2024-10-09 21:08:00 UTC,New York Mets,Philadelphia Phillies,MLB 2024,4,1,"0:0, 0:0, 0:0, 0:1, 0:0, 4:0, 0:0, 0:0, X:0",Citi Field,"New York, NY",USA,-120,+100,-119,+102,-123,+100,-125,+100,-125,+100,-120,+100,-118,+100,-116,+106,-118,+100,-118,+100,-120,-105,-122,+102,-118,+100,-116,+106,-125,+102
2025-05-16 03:38:21 UTC,2024-10-07 23:38:00 UTC,New York Yankees,Kansas City Royals,MLB 2024,2,4,"0:0, 0:0, 1:0, 0:4, 0:0, 0:0, 0:0, 0:0, 1:0",Yankee Stadium,"New York, NY",USA,-154,+129,-156,+135,-164,+131,-154,+125,-159,+129,-159,+135,-143,+125,-154,+140,-154,+129,-154,+129,-149,+120,-154,+129,-154,+129,-152,+139,-154,+123
